file	line_or_json_path	claim_text	classification	reason	recommended_action
paper/main.tex	188	Second, hierarchical validation makes the higher-level cost concentrate where it matters most: ADC(2)/def2-SVP serves as the primary post-Hartree--Fock label across all 35 molecules, while SCS-CC2/def2-SVP is deployed across all 13 ADC(2)-screened INVEST candidates (the pre-registered Table~1 shortl	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
results/canonical_metrics.json	634	"      ""description"": ""ADC(2)/def2-SVP vs SCS-CC2/def2-SVP cross-check on the small set of candidate INVEST molecules promoted to higher-level verification. This is the 4-molecule consistency probe used to corroborate the negative-gap sign for the lead candidates; it is NOT a population-scale benchma"	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
results/canonical_metrics.json	681	"      ""description"": ""Population-scale multi-method consistency benchmark from results/method_consistency_table.csv. Reports sign-conflict molecules across DDFT / ADC(2)-SVP / SCS-CC2-SVP / ADC(2)-TZVP / SCS-CC2-TZVP. This is NOT the 4-molecule candidate SCS-CC2 cross-check above — do not conflate t"	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
results/canonical_metrics.json	1155	"    ""ci_method"": ""Clopper-Pearson exact two-sided 95%"","	OVERCLAIMS_POPULATION_CI	Clopper-Pearson 95% CI for a pre-screened cohort without nearby disclaimer / rule-of-three substitution.	rewrite — see audit/scscc2_recommended_language.md
results/canonical_metrics.json	1158	"    ""paper_cited_CI"": ""[0.7529, 1.0000]"","	OK_SCREENED_COHORT_SIGN_EVIDENCE	[0.7529, 1.0000] mentioned but rule-of-three present nearby.	no action
results/canonical_metrics.json	1159	"    ""paper_cited_signrate"": ""13/13"","	OVERCLAIMS_POPULATION_CI	Bare 13/13 sign-retention claim without screened-cohort framing.	rewrite — see audit/scscc2_recommended_language.md
results/canonical_metrics.json	1261	"      ""Hz_NPh21_Cz2"": {"	SIGN_SENSITIVE_CASE_NOT_FLAGGED	Hz_NPh21_Cz2 mentioned without narrowest-margin / sign-flip caveat.	rewrite — see audit/scscc2_recommended_language.md
results/canonical_metrics.json	1292	"    ""narrowest_margin_mol"": ""Hz_NPh21_Cz2"","	OK_SCREENED_COHORT_SIGN_EVIDENCE	Hz_NPh21_Cz2 is paired with narrowest-margin / sign-flip caveat.	no action
results/scscc2_extension_n13/stats_n13.json	20	"  ""ci_method"": ""Clopper-Pearson exact two-sided 95%"""	OVERCLAIMS_POPULATION_CI	Clopper-Pearson 95% CI for a pre-screened cohort without nearby disclaimer / rule-of-three substitution.	rewrite — see audit/scscc2_recommended_language.md
results/scscc2_extension_n13/cross_check_n13.csv	5	Hz_POZ1_NPh21_CF31,72,adc2_batch2_final,6.6e-05,historical,,,-0.00971,-9.71,3.46277,3.62834,-0.16557,-165.57,-155.86,155.86,True	BORDERLINE_NEEDS_LOW_EVIDENCE	Hz_POZ1_NPh21_CF31 is promoted without nearby low-evidence or pending-basis-set caveat.	rewrite — see audit/scscc2_recommended_language.md
results/scscc2_extension_n13/cross_check_n13.csv	12	Hz_NPh21_Cz2,78,delta_dft,8.3e-05,phase2.4,,,-0.119,-119.0,3.55742,3.68651,-0.12909,-129.09,-10.09,10.09,True	SIGN_SENSITIVE_CASE_NOT_FLAGGED	Hz_NPh21_Cz2 mentioned without narrowest-margin / sign-flip caveat.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/Fig4_crosscheck.json	85	"    ""Panels showing the 4-molecule SCS-CC2 cross-check and panels showing the multi-method consistency benchmark must be visually separated and individually labeled with their respective n."","	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/Fig4_crosscheck.json	90	"    ""On the 4-molecule candidate cross-check set, ADC(2)/def2-SVP and SCS-CC2/def2-SVP agree in sign for 4/4 molecules with absolute differences spanning 100–174 meV."","	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
reviews/cover_letter.md	21	2. **Hierarchical validation with concentrated higher-level cross-checks.** ADC(2)/def2-SVP serves as the primary post-Hartree–Fock label across all 35 molecules, and SCS-CC2/def2-SVP is concentrated on four lead candidates, where it confirms sign agreement in 4/4 cases and promotes one ADC(2)-borde	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
results/Table1_invest_candidates.tex	3	\caption{Candidate-level summary for the validated INVEST-relevant subset. Primary classification uses the decision value stored in \texttt{validated\_candidates\_master.csv}; four molecules additionally have SCS-CC2 cross-checks, and one of them is promoted from the ADC(2) borderline window by the 	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper_overleaf/main.tex	26	Inverted singlet--triplet gap (INVEST) discovery is constrained by the cost of correlated excited-state labels: the small target-domain set available for any new campaign is typically defined at a level of theory different from the larger historical corpus, and exhaustive higher-level validation acr	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper_overleaf/main.tex	41	The novelty of the present work is two-fold. First, we demonstrate that a single round of scaffold-resolved active learning can decisively prune a low-data INVEST design library: 15 carefully chosen queries, drawn from a four-bucket acquisition heuristic that mixes uncertainty, near-zero predictions	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper_overleaf/main.tex	46	  \caption{Closed-loop workflow used in this study. The source model is trained on 446 Pollice ADC(2)/cc-pVDZ labels, corrected on a 33-molecule RI-ADC(2)/def2-SVP target set, challenged on 15 round-1 acquisitions, and summarized on a 35-molecule validated decision table. Higher-level SCS-CC2 cross-	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper_overleaf/main.tex	74	Primary validation used RI-ADC(2)/def2-SVP calculations with the \texttt{ricc2} module of Turbomole 7.5.1.\cite{TURBOMOLE2024} All 13 INVEST candidates (10 negative-gap + 3 dark negative-gap) additionally received SCS-CC2/def2-SVP cross-checks, used as independent higher-level comparisons for sign c	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper_overleaf/main.tex	150	The validation tier of the workflow is hierarchical: ADC(2)/def2-SVP is the primary post-Hartree--Fock label across all 35 molecules (10 negative-gap, 3 dark negative-gap, 1 borderline, 21 positive-gap), and SCS-CC2/def2-SVP is deployed across all 13 negative-or-dark-negative-gap candidates as a pop	OK_SCREENED_COHORT_SIGN_EVIDENCE	13/13 claim with both screened-cohort disclaimer and rule-of-three present in window.	no action
paper_overleaf/main.tex	155	  \caption{Final decision landscape for the 35 validated molecules. Four molecules additionally have SCS-CC2 cross-checks, and one heptazine is promoted from the ADC(2) borderline window by the higher-level result stored in the validated decision table.}	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper_overleaf/main.tex	161	Operationally, the thirteen SCS-CC2 cross-checks deliver three pieces of evidence that the workflow needs at this stage: (i) sign-level confirmation of the ADC(2)/def2-SVP classifications for every INVEST candidate (0 sign disagreement in the screened cohort), (ii) one direct rescue of an ADC(2)-bor	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper_overleaf/main.tex	166	  \caption{Cross-method comparison for the 13 ADC(2)-screened INVEST candidates that received both ADC(2)/def2-SVP and SCS-CC2/def2-SVP validation. SCS-CC2 reproduces the negative sign in all 13 cases (0 disagreement; the 13 molecules are not an i.i.d.\ sample but a cohort pre-screened to be INVEST,	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper_overleaf/main.tex	170	Hz\_NH23 anchors the deep end of the heptazine class within the workflow ($-\SI{383}{meV}$ by ADC(2)/def2-SVP, $-\SI{558}{meV}$ by SCS-CC2/def2-SVP); its oscillator strength is effectively zero, so we retain it in the validated table as a dark negative-gap mechanistic endpoint rather than as an emit	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
paper_overleaf/main.tex	177	The scope of the present workflow is defined by the scale of the available evidence and is by design tuned for scaffold-level prioritization rather than for fine candidate-level ranking. First, the low-level calibration rests on five anchor molecules and is used as a coarse screening device rather t	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper_overleaf/main.tex	188	Second, hierarchical validation makes the higher-level cost concentrate where it matters most: ADC(2)/def2-SVP serves as the primary post-Hartree--Fock label across all 35 molecules, while SCS-CC2/def2-SVP is deployed across all 13 ADC(2)-screened INVEST candidates (the pre-registered Table~1 shortl	OK_SCREENED_COHORT_SIGN_EVIDENCE	Method-independent or gold-standard language is used in a contrastive 'not X' construction with a method-family caveat nearby.	no action
paper_overleaf/Table1_invest_candidates.tex	3	\caption{Candidate-level summary for the validated INVEST-relevant subset. Primary classification uses the decision value stored in \texttt{validated\_candidates\_master.csv}; four molecules additionally have SCS-CC2 cross-checks, and one of them is promoted from the ADC(2) borderline window by the 	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/Fig0_workflow.json	44	"    ""SCS-CC2 verification is restricted to 4 selected lead candidates (Hz_DMAC1_NPh21_CF31, Hz_NPh22_SO2Ph1, Hz_POZ1_NPh21_CF31, Hz_NH23). It is NOT a population-scale method audit."""	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/Fig0_workflow.json	47	"    ""SCS-CC2 cross-checks are n = 4 selected molecules, NOT all 14 Table-1 candidates and NOT all 35 validated molecules."","	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/Fig0_workflow.json	52	"    ""Higher-level SCS-CC2 evidence is available only for the selected 4-molecule subset."","	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/Fig4_crosscheck.json	85	"    ""Panels showing the 4-molecule SCS-CC2 cross-check and panels showing the multi-method consistency benchmark must be visually separated and individually labeled with their respective n."","	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/Fig4_crosscheck.json	90	"    ""On the 4-molecule candidate cross-check set, ADC(2)/def2-SVP and SCS-CC2/def2-SVP agree in sign for 4/4 molecules with absolute differences spanning 100–174 meV."","	STALE_N4_WORDING	Caption / paragraph still uses n=4 language inconsistent with the rest of the paper saying n=13.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/FigS1_structures.json	28	"      ""Hz_NPh21_Cz2"","	SIGN_SENSITIVE_CASE_NOT_FLAGGED	Hz_NPh21_Cz2 mentioned without narrowest-margin / sign-flip caveat.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/FigS1_structures.json	34	"      ""Hz_NPh21_Cz2"""	SIGN_SENSITIVE_CASE_NOT_FLAGGED	Hz_NPh21_Cz2 mentioned without narrowest-margin / sign-flip caveat.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/FigS1_structures.json	50	"    ""Molecule IDs in the figure must match `mol_id` in results/validated_candidates_master.csv exactly: ['Hz_POZ1_NPh21_CF31', 'Hz_Cz1_NPh21_CF31', 'Hz_DMAC1_NPh21_CF31', 'Hz_NPh22_SO2Ph1', 'Hz_NEt21_NPh22', 'Hz_DMAC1_NPh21_SO2Ph1', 'Hz_NH22_SO2Ph1', 'Hz_NPh22_CN1', 'Hz_NEt22_CF31', 'Hz_DMAC2_SO2Ph1"	SIGN_SENSITIVE_CASE_NOT_FLAGGED	Hz_NPh21_Cz2 mentioned without narrowest-margin / sign-flip caveat.	rewrite — see audit/scscc2_recommended_language.md
figures/caption_data/FigS1_structures.json	51	"    ""The 3 dark_negative_gap molecule(s) (['Hz_NH23', 'Hz_NPh23', 'Hz_NPh21_Cz2']) must be visually distinguished from the bright negative-gap molecules (e.g., shaded background or 'dark' badge)."","	SIGN_SENSITIVE_CASE_NOT_FLAGGED	Hz_NPh21_Cz2 mentioned without narrowest-margin / sign-flip caveat.	rewrite — see audit/scscc2_recommended_language.md
